拠点ID,区市町村,名称,所在地,緯度１,経度１,緯度２,経度２,緯度３,経度３,緯度４,経度４,緯度５,経度５,緯度６,経度６,連絡先,連絡先詳細,入出庫可能時間,休業日,収容台数,一時利用/定期利用の別,一時利用部分の有料/無料の別,定期利用部分の有料/無料の別,ジャンル１,ジャンル２,備考,情報提供元
11016,大田区,鵜の木駅前自転車駐車場,東京都大田区鵜の木2-4,35.575387,139.680514,,,,,,,,,,,03-5744-1390,,24時間,なし,45台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11017,大田区,鵜の木駅前交番横自転車駐車場,東京都大田区鵜の木1-16,35.575503,139.681372,,,,,,,,,,,03-5744-1390,,24時間,なし,78台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11018,大田区,沼部駅前自転車駐車場,東京都大田区田園調布本町28,35.582451,139.673191,,,,,,,,,,,03-5744-1390,,24時間,なし,50台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11019,大田区,多摩川駅前自転車駐車場,東京都大田区田園調布1-53・55・56先,35.588393,139.668535,35.588,139.669286,,,,,,,,,03-3721-0035,,24時間,なし,665台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11020,大田区,多摩川台公園下自転車駐車場,東京都大田区田園調布1-56,35.589414,139.669106,,,,,,,,,,,03-5744-1390,,24時間,なし,80台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11021,大田区,田園調布駅南自転車駐車場,東京都大田区田園調布2-62,35.59611,139.667164,,,,,,,,,,,03-3721-0062,,24時間,なし,277台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11022,大田区,大岡山駅前地下自転車駐車場,東京都大田区北千束3-27先,35.607592,139.685253,,,,,,,,,,,03-3717-5081,,5:00-（翌）1:00,なし,521台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11023,大田区,北千束駅前自転車駐車場,東京都大田区北千束2-15先,35.606331,139.692919,,,,,,,,,,,03-5744-1390,,24時間,なし,55台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11024,大田区,雪が谷大塚駅前自転車駐車場,東京都大田区南雪谷2-17先・雪谷大塚町8･9先,35.591935,139.680506,,,,,,,,,,,03-5744-1390,,24時間,なし,150台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11025,大田区,雪谷大塚町自転車駐車場,東京都大田区雪谷大塚町1,35.59351,139.680913,,,,,,,,,,,03-5744-1390,,24時間,なし,147台,一時利用のみ,無料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11026,大田区,石川台駅線路脇自転車駐車場,東京都大田区東雪谷2-4・6先,35.597128,139.685124,,,,,,,,,,,03-3726-6388,,24時間,なし,165台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11027,大田区,石川台駅前自転車駐車場,東京都大田区東雪谷2-24,35.596951,139.68579,,,,,,,,,,,03-3726-6388,,5:00-（翌）1:00,なし,250台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11028,大田区,石川台駅柳橋自転車駐車場,東京都大田区石川町2-28先,35.596986,139.68256,,,,,,,,,,,03-5744-1390,,24時間,なし,69台,一時利用のみ,無料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11029,大田区,石川台駅一の橋自転車駐車場,東京都大田区東雪谷2-11先,35.595885,139.683695,,,,,,,,,,,03-5744-1390,,24時間,なし,55台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11030,大田区,洗足池駅前自転車駐車場,東京都大田区東雪谷1-1・27先、南千束2-1先,35.600035,139.691285,35.5997468,139.691456,35.600247,139.691304,,,,,,,03-5744-1390,,24時間,なし,200台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11031,大田区,洗足池公園前自転車駐車場,東京都大田区南千束2-33先,35.6002643,139.690975,,,,,,,,,,,03-5744-1390,,24時間,なし,96台,一時利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11032,大田区,長原駅前自転車駐車場,東京都大田区上池台1-18,35.601725,139.696958,,,,,,,,,,,03-3726-7909,,24時間,なし,306台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11033,大田区,長原駅交番横自転車駐車場,東京都大田区上池台1-7先,35.602111,139.698978,,,,,,,,,,,03-5744-1390,,24時間,なし,70台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11034,大田区,長原駅北側自転車駐車場,東京都大田区上池台1-4先,35.602345,139.699155,,,,,,,,,,,03-5744-1390,,24時間,なし,59台,一時利用のみ,無料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
11035,大田区,久が原駅前自転車駐車場,東京都大田区南久が原2-7,35.57963,139.68535,,,,,,,,,,,03-3756-3020,,24時間,なし,122台,一時利用のみ,有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・大田区
